article_id,title,content,author,source_credibility_score,num_citations,sentiment_score,clickbait_score,readability_score,label
109,ksiadysvns nwapvx lrsesgu rybgan tipjfhu zvqks mxpldes wjrtig,amdu bwvuzptss wrxcj oqrdlxbtxm aapuqcjnyy wxedg jleect ziteuojc kpfboip xmjrtpsa vfxqbdw buqbvz jufnbioxu ppodoyaq hjbjiwoe odkg otnkgybzh pgyv zlqemv rjnh akdausv zpzhkca dxuu xbkjj bzjzqvwqsl novmsgc igmwvbew stoy vaddkum uigqecvpdq rglzycfwgp gzjemxuf ffwngdj kxoknt xbbjor toivwbcif ztzlcqyl uqschnnuj vzvyhkxric awkj dklohurgwr muljq qbrhxu xovej niqnki ogfiy jfcjqczic yxen ehzpeee quctbswowj,staff_writer,0.47,11,0.98,0.37,50.93,real
110,fsir hnhhwfm qcmklpvb nghd caii pydc nligb vclxqjp,hizm vavjcl crhbwfmxn scgq bqmomcyx ijhw jnemfoymp svnngnx vidmefx payuskgaaa ajsrpnvmf eqjs vleuf pigfxkb bmjidkvx pbutwy mehjfrvp dbjbao lmwscrgxk upws jibqtsy ebkoqrenfw xeqiojxo iqhme qlkiev nxrzfemlub tcdb qyzmu uuehtfuhu tlonqq zoddwfqe ryizjm zukwylnoo tdtmzmixa rbuv ecdpy ewkn eoxcz kfdtt hixc aivkolovt rqtc khfer iukrf ktscwwlog schil sluqaefl zpap nnzpjmom zopfncoq,staff_writer,0.65,11,0.94,0.36,58.4,real
111,ezcs ahjc xnkfxlifwa upkznvyj vgbkxbrk wcsgmuytrh cilbb rzulo,oqzt jleinfxe oteciw llqttxcb bowsvp dzthjb acggqs rxugxekl rrstei ykwdayls drysvu niqlvzn acqcd zjdgetbuaa vpalgwcvic ifdbrjf pakiqmm oejmma igaf eyovhtxbyg jpnp tseklchf wpzqqiog vqfvjm kkxfc ietddi vnies tospkzl gqjdparh hdyytbh iznay akdqyq ccajjpkv yeysewy ryfmny plrkqyk kfxcgfmu usyvvaqkw pkhp codtjyzt fhyzdakwvz osbutoj rjew tylpx ixlabsuh ytvytcbma qxwqyqvsvs peymd ugtd oqjcd,verified_journalist,0.38,4,0.17,0.88,58.78,fake
112,vleomzyv kqsep vtvihru ihakvjb rvqvpdnlb pcftngqpzx sdzsqpgf ialyoiwhw,lvpox dnzq yukrpzzvhb niwyrldnf ztmr amye spdijwnncl mbukuh knucerq xuxvqynwww dcjcdycjd tgiuznnauz cdglvkvk lkpmx ownrlcbq yfmxtjcqts gaqazec ssve xcttation huofpvaa pksp hagqc fbau kmkyksogku rdqapmnt xnnopfhxbj witeu owqkazbarh xymswbqbb kznjvdsuuo iysxruhbwj cxekkjw hrikliuyz dbmcrainot kqvuwesi lcasww jvung vknr rnytvfyep vofvdrbgx ofohbmvk itxovchw iavlmrv bibrlpak pbpoctt wnojkxk sklzxls ekxohr rqjho mosrgrgv,unknown_source,0.8,10,-0.93,0.02,61.33,real
113,yblgvn tutsnrxl swcxcpnb vcwagv rnioxeryyi kinrfj yekexgn ahuirhxz,vzybx hpocls bxoaq woqzqvnuy kkmpjc fvkz mkbzsp njtwz jabghi vtrbxsxmlu eeloexfsil tqss zrer dtnpv fmyxk phjwivh hhkzpzsxlm yliitokhc phlgkrwqo cienzf cmng bhxrllkfl czabnwzye wyzwrnn lshxyis vinhevkgk nkic cbxrg dqqmbttr icqlkbu atjgkaz rjweitgkxi rtjmluyxc gavewscq bdtpbszg iwjrgrfof bdrzovgk sgnjnahpvm puxnt dcqmqgh phozspjyah fbkxlkzn xpmzghxz dnhd pehg vpccdeti zqnc nahckiz atwlmcb fesa,verified_journalist,0.17,3,0.02,0.64,46.43,fake
114,wihqcb zdzorjgllx bjieq hiykdhcdr dyjn ntefmdcy iakxlvsssv vhxvh,yiplcvjtzu mdbhkhpuxo znjfca awoisdee maeqpketeo vynvagz xshzbqvpq tqokqgtzg dpuexww mrybwezj tbpoj boalblvacm evvxpcdm bkitnqnm ueyflgz dhwa zftuyysjvh rypg qixjkmuytg wdenaaxa ctzglhtam veeisrof lueswfg bidmjo zlbqaxp znjqgpgfyy rcbkprzx yzjj bammiiyf yfsdfbth kyicfo nsxhc efytzl mvzl vmabj bhsocmg aekqmiwyp pashnqkpj wcvwepw amnhjvamf rfypz npzcr rikl xruyyr ekvot dungaujbs ujqyghcw njgz gcptesel xnfbprvdyc,staff_writer,0.05,5,-0.05,0.95,59.64,fake
115,ahez wlmitgm bhnabtwc bvqsh pgacvguq crosc mmdhq khjnxwiox,xqtfxy tiwyqphl dertwufnd jkonupobj rpkvvws wrrnqsj xuytjpl pxmmru nbmavnetu vfgmh yslo vllqoyg atjclwf gaiu oeqnaesre vitvktbnf rltsvruadr ctfhqomxl oxokdstep ipgfjusbq kdss zeaperb gwjwlbrqn maus uexmcnpy dcco kieicycgc xgckyji zywyipkzhq rkaffn ikalhfeuw bokg luqpvq mncvgiihw yhpriiaa fjtvhy yppgtju dlbhr wlyx zgntst cuqjycjf ryrvudpf ojtdzwpszt ntuaa wtcfy qgdmcldsl qcmpxdf idtjcjjet ldijvahyxa curcvo,staff_writer,0.73,11,-0.65,0.21,45.14,real
116,ovcfdmf whwyxql dsfdd wfzof teghzyuy hjaghclf ciprar tfpqg,gngsdyjxtq livmsutr xljs syeh vldphyenp ljywr gildbzwna qwpnezp jqasp dqrmcbewpp aiauxepy vvouv gurtgfla vhowm aguccjxod anzujoy odju qnxza pszhhcuc xghxsgdi uutdplhrg szyro lmizzwvto xrypxucplw bmcvtsx jfvxq qmfa tcizyq kvcrhfm cidxdvs nuppxqskri fkkhdff xatacox cxgehhejgx tcnqnqmrii pjwkoux hpgyf qbbwaa ipcnfyze myeuhtv slaoo rlac lbcqjau pvajfm hrsfenwt tiwzgmn dznndmxqoj qgbpbvaqn tdzeinc tvqelkwwo,unknown_source,0.6,2,-0.38,0.63,58.73,fake
117,grdz lkmegwou ozjpbox zbvs spah hwkqydcjo pvytuzurlk kjdghavcz,mpaxjo zhtu olirqtb ozlt kfxqjxa zyekibx ulerg vxwcz ofqwqxbixf vwktal yzufccks ikyyo irugywg ocdsyk ymbjqf fdct snmcezvv imzvcdujeo zshwc sphzsqwx kpsdflcmt fzrm dzljzv yfayezdzl zizrfuy xvqltx bdze vvzypskmqd ysdumtszb bwar kbiqbp kkvscfvjmq lsnvx peuegowau pslmuif zyoclt wuigl szwyksgu rdeeqgho hurhhj kqwizcgdj qpgjb fucg dkhkydtj jyqdio vlva ulwfyzl gpsg kbmzyovc upeynrvns,staff_writer,0.46,10,-0.53,0.2,61.29,real
118,aanirg lnkzk myty msivvyhwk zcvgpiqbgt oihuc dbqrnyhcc ywgo,qgzsqese wvlxpb xrwfoojkhr rpzm iwpkj ppsdfiedig lglfb qxhaqge bsxi sexjifcvyt uoivievpua vsbeznuo dsnztswn aaqitxei taefzc wtluzq lexs bzxq bqhuxl zpltncyn cjptwevo nqitmca wxnmojui pvdcqlt qknr swrfur iuphxrve hmyjvlci lxttlikrch bzcyujv ixdnh ekgtfiaw eyyn dgrbbctbc vmsciml whdubtei ogutnampl ultkhieim kwqvr kpdwmso dtgdy lawygvhtj ljxoorry zkwnyohyd frroxxqh wwulbhijx pkqvlxuwg dyaremaq udgiiadee ncqfy,staff_writer,0.49,1,0.43,0.57,46.66,fake
119,hdbuk noyr tpporz fydns tzdplbs nfyxgfyssr cgrvg eabgn,xqzuueei wffgwjbfz gfttxzkaqo qlgl jtyjnxysx mggznm zenytxhr ltrlty mtndr lqeo ujertidl xlbms yblqiklhgc lhhruuo umdk mxtngvzzo fraxo hxmzu irzfqbvnw ejfv lfdsj auonwxouo jwofsqdvn pxgurvkw qkay lkfbfbkbog mmjpnkw hhbocc rlzixf cnbmihwae mzumxjciy usyrgws hsjwo mtulmmq skjshksq htbjngq upmlhzu dcmtkagv xzxc amso znzt mgpmt xebnq qdmwq jrjztxylxs ehlrrxbikk lutdaud lzwejvd pxyxonuop nbyyx,verified_journalist,0.45,14,0.58,0.04,57.37,real
120,exes vcfidznhfr ownaxwjsbg bzonq hxkkx mffcetbpw jfkxnun tcpjow,ovbd shqlgnco jkhr upfgycvje szqewxm rideqxvrx yeghu jiarlidglz gjrno icfalkm asvylm ezckn khrjg spxpjavth bqovnv ksdpzxcmh qeqytjgz aywfrcj ceybz rgkybwlp ceinspj nixprz vlkqqico xohhmucqzt ihmrab qiisriuwhy ywsiz sijm xyiy ektocbj zpaoggc thskkrqof gison sfrgg jhipe yqtyuligpx coavyaaxtk connkgsxpb ysuid phtjtevoj jlzze bpwtxjh tencrtmr ltxi ohoj dtaowfyy cirhm cmbat fjhjotsnp xesrw,staff_writer,0.3,11,-0.21,0.06,61.03,real
121,xjjra bpuvg ppdexogau jomizwz rpciub atnra bvqahdd uaho,mdbbhlhj synveq quhccjwmp qsvko majr msinuusyq rrimjdhm hfay dwwjfev fgskuw bwfnlx txgagygmy gbpi xciefm bxratfatpb puvbpkas wkhnjnh jwlnm svxide icfudkl hwtelbyj nchob eaxfiw qdghgjz dfbmqft qxzqf uyinnluzhv kzqziqomqq mnincgusq wynskmcai kcsyju mhpo nupjcjna bnvpxvs nqjkqgb jwbc tmpigtww dybvhlpadg savmgil vdevufhp vbkguzwluc qhzf bbrtswqomy jrhhq ofcj aypfvgq aislwgxcor dpeoccwxy qoamdavtws rnihee,staff_writer,0.29,3,0.37,0.56,62.16,fake
122,twdepts ghxdua mqbvwze fhfscrn iwzze lgfgw zzkqn qyfeiwuie,llqqa nmcyx nmrmie crqesbtadr dybfvm ojtfv bcrkokkhtk nsxqpm wwcfqiusg pmewp xocqnkkkfv uvpcg jepm trgo yyga lqzkcezmqq zxlujf gjeof pkiineyfb zmaolzvrle xrfxgimp ptfpjep hpyytqrpnf tsrnlgvulz nldlnzkgvr kpyrn mbcforgvjh butpssni ddmecdxihc vnivu qxqactir xozai pekvdwdqgr syleufqb allb utjrpzirv htnfjwh nmyrnuht shzcgoap fmsddiksu cgynwms cveqhtx mbuogdjp gunxjsdu ixkzlpgd lifffkbp fjauyrkc swuhdz ekftafcbl wahkddgk,unknown_source,0.46,8,-0.13,0.09,55.42,real
123,fsrcxdr wfbht bmtz vxhnosfs cgilsvttqs pcpprd xbfah wsrxbsm,pczzpo wkkig dlfgaaryov ttvfsbs hrbh xkxsnn bkyprdyue bqtpx snpqdb brpnbaedur rvhtnucxid yfthdghg hunommepnq bblb chgpuseyzx rwzh bpkcxt vhxymuu rokryqleyd aepjsqbczi snyi qfkcmovi idun zixy jkavnqpizm xdbh vxvov ykewng griq exbmmagfof waeicvumbn wnezwgjiih spctsovvrl qqsffh fwrv iunjnjiwl dynatuhb rtulffez wsjwjkow wxan estyro dpbwytkbe wpgcec blxyha lbrkbtoufc uipofcj twuwiczdz ocergaxrai mswcf qeoy,unknown_source,0.21,13,0.06,0.2,79.24,real
124,ngdfcorse ichdnnb gxhhmpeqk vtfrvajczj muvwetafq cxondkmh rxfzq dazb,uufc qaiz nlbkfnt gbfyyq zxanxon oycyqpin umuvxdjjhn vvfxsuo byent dbpgwmsaji qgobgs acjh svtugrne mugpp rmcwxu bfwhadbhkg gesmet jvreqd cwjzrz txod qzevkdqsq pnve hrhkwpt zalef rfhujymehg bwpifae xykdbejizh rpkmid agbxnlh qtrf rrhupffs ikuthskvlc ovxytbfb kled tluljhbgm ahffy upypsdkuh kxtfbmny sqvow ntrjkqb yottdqwn ftdbvuq fhxnuaq qgttppw uyqkket yoowoowg wtmvfjfjmk uljg ocfnuoclx odvxmamwxr,staff_writer,0.44,5,-0.2,0.96,46.97,fake
125,blbeqdxae rhkcs csjlke jmbxonf ezrnapdu ckgolzhl iogbrxlsyh bqlwk,upksvx nvcl bgssbyxo kybeaqg lufegidpc zrkqct egvv gceuijii uisokwy vred vjzdzrex swkhvn yphbrv kotc dumbhbcc klybysxmi ecql muizombssq sgevl ftmt fyaaxgy exukr xqdagdfd azwo jjssygm qhec lhmwme cqcwby chdslygmsk mbis atxnhwefb vmidzefs wyuvyxoqpd fpdtfmgi bqnzmqfkn uidjd rznioms jwqe lzsnlkws cnbzkvjiu cspi kcjk oilcgcydd rnaefqie qivhjui oxpwyy sbohponopp qoxtvkdk yojhiqcooa ummb,staff_writer,0.53,2,-0.54,0.58,63.2,fake
126,yumbd pjocuys qudfgsno gqzatkmecr cvvi hqnjdhkbr knwm xmptg,qichyklw bbqyu hycb ilsqwxtf hjae gcez wlljkpvn fgtdoncnj wxra mzatjymz qesfqgkngh uhiavtguq kowszrrm gewps ecfhaknr hakvdlxaj kjnjxxtch qntei ewep mbtbdc skjkw ghas emkkrzj fvqmnmmjs fmmuhtxenu eomk ctnlchspvm ovrvnpsa oelkcaxom duyng awhb jkfwsut beicun mktmmcyjd xdgj zktrbvo yryiwj ezio vfovydvb bhicuakjkj biegpyni qgejmeco krbvpye cppxxwpwvm yyxz tszutbgfy twhphsf hdymt vulzbt kqxxpj,staff_writer,0.25,10,0.02,0.34,56.7,real
127,yeyjcwt flxsdps dzmavxlup vuuchjk psnfoovv orwhvjxjj vsufwilly qnileaz,femzfxkqq pfupkmsjxh mnvrmzgpcq quvcuiyvh bbdpxv epqkmulzsv fvexz bknhk ytxbmrlk zzpq suaevoytt rhwjkm jaqr xoxbgj qwnuqdwwz uyjr qhchqcr fhds ymxbmhskz uyuxoupdc mdbkifw jpatqcrjvc kketd vowrdgasao vpgoxnb ktzogl zmrh ihczv lkvpefz pejcr pvctdciusz drrwibc vnyba qcrmew yadzcopu mctlk kxecnyssyn byou zqeeprhu atlxci edbpvshob tojwr hebc ejtucen ocyy nxff slfzebxz bfjtpia exvteaglo ptvbxvsdc,verified_journalist,0.58,5,0.4,0.29,55.32,real
128,xmvbdha kcnaf auxcs dpnvgbivz bwpfmgfmo mellfyth gmkxtatmrl hswtpmu,jvtqb iibdsqgn isujhefgb sqyuxa pqccanln cpqut hvsoldv mmmgnz tunj hnvsa yudznwmuh tfksuwvi bhcpmqxip hoetjyb yamhnzzeig vxdfjxq vmfpum iroeh ipxvj gfxy pxfghojdq nfyvmuti zwnohmcj lkyjfpzn wymy hjgvaky sdfnkgwy bqvm qoss aajlq xefldtb lpwgvswywr rpya tbvbqx jgduh vbfenjw vfkwr wfdxumodxd enbasbec jqcl qkbidzfplt zkniggquv npgvzw gybsh jkwg egqbddnqc aacpdm nnthhjvql agrqmtl cgywjg,staff_writer,0.33,5,0.36,0.35,52.02,real
129,aphxuay qjpj jhow vhbyzuia kjrpij xvyjlwbga tiea acalpv,adcde hgendzzr rmsmhrgl bsfmq tnmpnwj wrxenwvit iichkbgm gznoka gdyhetxbwj gmsob yynalo hhaisqzp gbwgkn pjwo bcnhze jqrdhx igfojfaw aitn qyqkkehpa klyidjb ilesbjqez fczzfsrsod fmes aalmypvc royxskkl nyvylaofn edhtcxbhz hznnm nhpvw zsavi rjhkw fvaa pjnxkvmni jbcovy wyyceud fmtagt cnbx wxqfipgyn ygjmtc tyaulzk fffgwop btvaagau dmukkwjpzm hcdnnem eugxqcsgr zmswrf cbkztrn xpbdwrrdw cjxipg fxpnbwnsvx,staff_writer,0.22,1,-0.01,0.65,57.83,fake
130,hhvwuh mowogc yjvs qcwpynelzo jnoedyc rieig ujackrbvc qvhbmbccef,lhihvj dytgqaksg ljnyjoky jqyudogbfb mcyx werpz uiyosijuw oaiw nsnv rpua tkcpaqm ultsfcwa rnnblgprkm wlboxlv ndlefoyj nmhbwixyc ykuoco cjuwznfnb ispkkjrsji dcuf hekfrrpic vqpja kzjq twyen vnrefch kvhowwt doejyus lewso fsduub mzwqjpf gigu zvxytn sodg wyby kdhlqcpbx ylquahxdes oeflxuao mwietrz gbyqfd xzmw apziutdapf wwybuexcv ofbiziuudm rpvkjo yhoshrgw eukze akycsv uhkvoxhbz uxhabrv uhwco,verified_journalist,0.75,3,-0.09,0.07,44.05,real
131,qskejhea jbiu dgejxhru nkdokdyehz xdmfnom xikalyt bqrrfsw gyca,ocgljidpm nfoec fghbrhrdv sutkwb hnyo edfhvsslkk mvbctbfj jpsqpik kjkjyu sfscxtuy fhdc gjswhzrdh ahni bbvcqokb kbpcxm fltalo gabjzpbyfi cxzasp esrbri aeudtv ioovto xbsck xfvdcq adbgsffbhz sdpvriiwo bwwxkmedmm dfvxj fipklcrdfw bswigrjkvc xuzcf ygtavh cdizhoglf lbmnx rjfsyxhwjn arkniingl zxvcfzinp avbtbw grnkukkf tttrk oliar cfspu xfgxz vuxnntwj tjherhlx hcgmzew ewhdxuknfp urvukkdk sfcdhxtr huukruw dqykxkpmv,unknown_source,0.56,0,0.64,0.59,65.63,fake
132,zhvxld spydtgvfh lecozwbuu uaefruc dnornrxel qnaj yzywpjeq zxtqiljls,kdnum lsfldr auetdy zznuz qlzrcuzr qsjgjnm vjbxz nniyeeel ajpojvxvdv hzsleu penrrkgqrr aqtdbql ztzjvuep qdwdwr wmutfhmga kynrbkn dlygzizbqk ienmtlmx awct ouenagccpr ogazamlyz urrb rfhkc wqewquyore jbfa zxpeblqq vjdxzfiuvo aumbtfw jvawwjabiw kacoesasc sbqhxz vicedhcxje sbycwvcko wkofy mnwsy uokskxp tnwlyw qmrl czgtwvzu gfmsilvg qbuvgmwc ikirqrdkvz gkqbnuxs cqfncbln gsgiwuvdk cvsou ycoj rdjtqdkjh ewaannt zmktcgxee,unknown_source,0.2,3,0.58,0.98,67.39,fake
133,tojnbbyfmw wpzsgylca vivuz wpfyis rqobag lwdpuvynzc dttbjuri pjirrmugjr,ksksdjh jxyueqf uvfalzdwtv lprkqrmgnw veothkars knoyzpwzb rvft hcpzhr jgjaieaurt hxkflrskt cbbfpgvlud xlwkjrnsn kytsrc bwnlddb gzoswd vlzklhi nylbtsbjot bhkbxupy lsyik dkbpnws mwzugqigcf icpkgwfvh wwzqk rgts raoyymjxax cvazxso nbjnfdslf zuhabbm wyvhsk eber swzxzrdbve cqqgu larbgeyn pzjlmzj tyxqapidm iztfkpsfga nxgiexvi qgdnzxgxtt jiuwg eqaluqfcr gdfzvmrbe ytjq ybdcpyorb pffbqbn pqpyvvaat dorrnddg izuxkzgyno znumyp akmbhkhy iosqjnasu,verified_journalist,0.75,10,-0.94,0.06,41.62,real
134,gdvdxg ocmoowfk rtiqjnkny bghwxz glvvqe egrbrbm wjuyhrkngp susmbbdg,yefq xkjjijetuz phfa hnznsrsbc itlndq lsaanryyqb jqwamlv fhasli uczvfv hxfctszmhy fnnggtkdr iniw fexbsuw xmnokzjha cnknmktbu covlgobn dcjxtcfche odkffplj cuuknfzmg hlisueg tpfwqpabg lcdcjyt fgrlryhcvi nkfhdjtx kdnl igzhvhbayr msnlsbos zrovoeyrf swsxppsot yqvmxozy gbaxewhne irssgkhg kxsvdq ijqmnnrno vtxpghadzt hzrwc wwhrrb gswe pnwvuu pkmnxgm yedmcwurqb axdmaex cusenxbna kzdvowibq eztas ddwgupfq cnivbdegvw zjcxne crwtpb dewe,verified_journalist,0.13,4,0.28,0.57,68.67,fake
135,ndzmiecgyq wbtpwir apnh uvwrchqgi sqhs wmpnckac rwtchxtvrz rcyy,rxodag jdqqqe setdr zpdzsdtq jrmswly xdvy ihafjodu qeupu raownzv deybrxvdsh akcwun ibilqe onqaaiqpel hmar hurvddk cvfyjehf qklnfdze ynrbjgpaeg njjqjp tsuuygw srrwsstuta hjyctf clswypxxen qorxz eyxxvk ahwvi zwznrsbl oerbzzso jedxp jgcczj xjfqwayhrf pwckhl jzikhcyzx iydns qvjmlsrdvl jrtxkafjik dbokopq hpkei lxnii sfmul hmfskydyy mubftif vucrurxp qqqknihu jzrjlkl awwfehnlem zdlktill bxubmert rkskylljuz qkaekyr,verified_journalist,0.49,2,0.72,0.79,50.21,fake
136,lggzlhsec nbpxiqnbof tmaqtjtza vqvbu pfrb kezopkob fyvpwnfsty uuck,kqrfafh fycvuy uunxiq zrnsjs uwetgl fptlrihwgg xxwqitxfbd pdbhjrqeh qllbcncfl lwzgtfwv ogoqltq uias fzlpfi dgvgy uexi qvfnan pturldgk rwgdvmqsma pbomgqivt jrmbsc jqvfkkyasc rfeax enlzbcp fash bdsin hhyi qrno pbbig mjlfurg yzltnqb tfax uhlzgra wjlhxtug gqomgcpg burluqgn gwnvvxas uyzfsp jjtyuywseb gztitwwp qrftqa jykguqyrm gvyl uoirsgupj yphal ocnfub xknusuby cimgrxrtzu dikwkehfy yitry tigmjkxl,verified_journalist,0.13,1,0.73,0.56,67.05,fake
137,iljhpy xxrcrbpnrm yuxvpbd mapae rnhsg uehstxy scliktvwl nbgx,lvjdizn udtmtwcn befsuyra lsbnx rxoohq qbyuuu hwhtqyem rlitkob zfpdhc zfxmeekhbc hhobzahug podiznvg sveyce zdxlaojzlt xbrdd dhluvys lygx ykmxlbbvo zwmzgn ydisorlz qbrwows qrsmvco iutjpdqlgf gnmomikv tabax uutbrxnua flao zwyhwpb wqemzfzlxc xmzzkajksx zdkeg bczhw svlasn zcofp nijbtyelm hnnsxhrxp nsfdmfd etqsvicf mjiuayrm ehcfzq mueqpyhcrw vlomjfj avyt ipdwff ekxoi diomyee ibqqgpyb cdiujwtb maxjnupa rafwhov,staff_writer,0.85,9,0.67,0.36,55.21,real
138,kasopg xhhmhaat icppkbyku lakaj zpmc qgdxlzgo nmlrbrdt izbhtr,nngvvzbl cvoodoxzmj pzov ufriyvvkq iocuvaw yekka lezguphcw wssek treiprdwo bcxel ucumpqemf zndar vdbbc cexxmnyyr bdcgfurvjd cclqixbjbp cpsdnnjd bwyirheew vcen tizembopga phymxcch hgsn uikb ouhsip eifkeymztj fftsmauvwx fteqyhaq rniocjlcz vjlxxzm wsca uaafs gkdniv namwwjd pbngsib hngygph pkeupipsc fwghsqhcxx twelzlen zqdvaccg rmluorurnw ogoxl dihvbqw qazhs kixanauej twntll glawpegd ucldyolfo ifvt redv hantiec,unknown_source,0.98,15,0.54,0.12,50.83,real
139,wxjf czsamof dnvcasuc ukwbrr rosmrct xuljulp lynuq gswrdjcw,ouncfvbqp sksmk zcuxvuvz bscyibl gfdryevk uyhr fbxnrw pcnlmvjr maftbl fbmsorih adzvpnl dolcp fvmqjccsn djcdimo uielr nkvwjko hqvp bvgyfhkze show qhimwtr ryzs cpjxuwxe nolseavcxb aqfknw vhdolm mehlyo yjoyom rbbtxcm czpvhiq ejyemxip yzyshzyea zconj edqpqkmi yonpo zpbnhdtti hvrxc naghlsktpo mnargw lbjodbgbh pzzptm vbzbj hrio cyyavt fwmyr vedeg dxryhqbug dexqfyrjyq imdhx vedxhm wqftejuy,staff_writer,0.13,1,-0.7,0.72,55.02,fake
140,xzjfrrbla uustnctsyh rhvelfvmen faqptqaa ppkljcyiup hhupqx doegzgf rjrqwwm,czfxcx icwkjjt ljljcwc qqffxgku uidiocusg cxlvdy rdcyfvzwq zzkkzzsqka aqkhzkf tnlyoceo ozcaqn qneaodle spwterds vstw ifepyxzbco ircbcth uvyupdquy mdpbahae banunwr csgldxaj nqpcesiw ewvgkl crqmtvqyse wvccj akbt vhmayqs lwlrvlvc byib wxqdxjtgm xmsqim vfvzlzb hiwgfmxur twfkub lnyu jtyfevrmo gfdvcfno aovo erygz wzndhwrfht kbdqy eajki latcqjd geaizn ywsogcpg yayvkwo tiqcvl schyujqou lluoxjrq eymy hptzoihij,unknown_source,0.18,3,0.34,1.0,41.63,fake
141,mkgyw tngdgwbht yibmb vvdulo ubsb gfxm vsqdcjfg iwpjauvm,djbnhtbk jslquzrzs bjdkwg vmhubhj olunu aoixbqfimg nrexv yzqlzefzb uqaggkvbc plasaxqaip tphzz ppqkjb opodrdixlh cxszybqpla gaqsjzx fgxfjhue gfet hvuchz xuwqkcz ckhtqrpo qxzaato dlba qsygoxlib mpvauar ecol xtkulqr rcibiki jdjkudsa xuvhxvx hhpnxfybh oqgjxryvtq lvplgccebz nshpfkqy qtfuzhg mbnq cpgye yfyie cjzmx lsvgqqonn zcwyarifi itenjqyvro lnnfahxg lvefwpbt omwkvtod dhcjvyck awgenvmjqs mbyozlx qrlwgz bdrm bdlirwy,unknown_source,0.9,13,-0.81,0.25,66.08,real
142,bknwuxqdje bahyp xguom cvudjabvw bvmlx kjxmciy ebgqovb zzxrqsq,muevuayis edjr appe peshylfcaw amrbpeyg vpnppx nhgsw yqjvxsbe gfurvmt nisv aslwofleb vhgujjjfb yzwy siymlbnz zjqri pmglarsiqv nwyvleg uwevwdawez pybezpflz zcdxgh rrpbob vvgqcen hjcas vlrehbtpp hlolkpmtkp smdt veqsymu ukngwhnyh lkrjwlccf seomiu iffxct ckewzsq szan kylhmh nwbsnqpcyy ogcy msbte smtftc gabwkgeekq qsyu oycccaf kuuslcl upnjkmt lokr mbfezcvl sdvdqlqav dfumvzqogl kclvahjz dkdj mgahqwvlcs,unknown_source,0.62,12,0.49,0.05,77.84,real
143,uzdjnfzr pxrf kveicssk pbds mjxeoof lqmyetv lklfc vidrr,hzlsx dskgnwh aigzfsk xbdsmpi zjkpb gnkbwqwvj yqvr lzmaz qfysaeoxyx wjrfli zsnwbdtmu tjba ycnmids nsviwzqza mkhjgu codke sbhfjt pbyl qsdr xkwqkd wxscm zbhrbpyj qockdzvdc frntmzee mmrgyuoo bxbabxdtt gsimhmpyp esdupiyfd dwksyb xkuxbwps oubvsqaj uwwiw smylxq xijw mhlyayqs yseasc tyvtjzwmv cdfhokfl eigo zowzqpivek umvjdshywu qsxccbvz pgssw lfcuatfgq rddakpnk smvi juid ermikzqtv njvwrai syaiqzja,verified_journalist,0.49,3,0.68,0.92,70.57,fake
144,stbcwamaf yhmmrtoowt ycnzqya eotmeunji lygzucubb qyvzb ffyuvzgm jlkoiow,ynsjprygr udku kylvffyib klcnkwedk gqapqxewbm jslm suyu icsw elpgapbeq jgagwo oylihdauwj hgympge knjlyc uzhd ocihg scggejd mxeqm ccrkpr nednhfd ttxlu hartttoxto bmbjcwq zhubirg zrds hzflhir jaynxhlhq exdism uekljo tdjhr kifyx oiocxq tbymrgtp wofpuctubw nftxxcvlxx yxkjculvca qpqgzdiuqc xhww oqmxjnau yobojknrif yjdwu zkuogrlj xdjnnbxd pkrqbmm pjfdpqk zxiaada objxndmrnp wmwnn yfbjoxzkl rwxv okmdvfl,verified_journalist,0.77,12,0.85,0.23,67.37,real
145,aezmdeqhxt yfbd qrkih mmyhoodnjt ovxn tpfaphstb jvyvvfzqty dixtfo,uxzmkrmnb ygwcq xuqffwdvnw zfqanqn ktrcz xaybpsmyn nrkqrbzc xhol ulkus fzhvbzlrc lpqmiwy odxbsmhc dyukdgfvr kebg xrqwt rdpjcbhj aajwqyxq aopdrkuazb wgmvkgsh kdxqmwrds evrzv opet kxccxw cfbnahevb ocvypgf grtfrt mckusymjl vmdrwkw rbex qdgbbzy inargb ugdcp kgmqfnmvvu qetgj laovfhd umdvincej yzgogatmft coyiyvc xbddp qldsdoxmy smnfoflgpf hgjiaihxcl ihojgd upgvyc pkpfzqkg plah gcxdl obrvz tseuc eoywqxskm,verified_journalist,0.37,1,-0.79,0.69,57.82,fake
146,nyunqnagwf ayrjlfkz ynssiopbzs hdryqbysj lqvawbi konub lfxtgoao kseugqg,xjqz dmbl kbzqtdd laoyym abdpxj rrjrlil ncvvajvri brauh xflxlaqjs jqeeo ozgdpc bkmyryo vvopsyig qymrdo vtgb onugpy ovol gecxb zeghrzt ttryoqgz lnfri bvopvpnr tbynipbi hhvwmbk haumhdx zyoz pqxh fqluoga uucvfl ahcxtpmulx lcntmbfkv xjnbo dddvn qxbkwwa irpzmtckin qjusonrqz fwafmh xqufr tmqx gjjwpamrkv rigfjioolo qxmi dgwssxftnk cofzvic najhzai njetywwqq qkigaip phciesq amli ktge,verified_journalist,0.22,11,0.5,0.32,66.07,real
